desireToConnect,increasedLoneliness,recognizeLoneliness,abilityToBeHappy,healthConfirmationPrePandemic,withoutProof
Heavily increased,"Yes, often",Generally Welcome,Significantly decreased,No Answer,No Answer
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Very Likely
Moderately decreased,"Yes, often",Somewhat Important,No noted difference,Somewhat Important,Very Unlikely
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Somewhat Unimportant,Somewhat Unlikely
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Somewhat Likely
Not at all,"Yes, sometimes",Generally Welcome,Significantly increased,Very Important,Likely
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Likely
Moderately increased,"Yes, often",Generally Welcome,Somewhat decreased,Very Important,Somewhat Unlikely
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Very Likely
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely
Moderately decreased,"Yes, sometimes",Somewhat Important,Somewhat increased,Important,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Important,Significantly decreased,Very Important,Somewhat Likely
Heavily increased,"Yes, often",Very Important,Significantly increased,Very Important,Somewhat Likely
Moderately increased,"Yes, often",Generally Welcome,No noted difference,Very Important,Somewhat Unlikely
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely
Moderately increased,"Yes, sometimes",Very Important,Significantly increased,Very Important,Likely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely
Moderately decreased,"Yes, often",Somewhat Important,No noted difference,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely
Moderately increased,"Yes, often",Very Important,No noted difference,Somewhat Important,Likely
Moderately decreased,"Yes, often",Generally Welcome,Somewhat decreased,Important,Likely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Important,Likely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Likely
Not at all,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely
Moderately decreased,"Yes, often",Somewhat Important,Significantly decreased,Very Important,Very Unlikely
Moderately decreased,"Yes, often",Very Important,Somewhat increased,Somewhat Important,Somewhat Unlikely
Moderately increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Very Unlikely
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Likely
Moderately increased,"Yes, sometimes",Very Important,Somewhat increased,Somewhat Unimportant,Very Unlikely
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Somewhat Important,Somewhat Unlikely
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, often",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Likely
Moderately increased,"Yes, often",Somewhat Unimportant,Significantly increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely
Moderately decreased,"Yes, often",Very Important,Significantly decreased,Very Important,No Answer
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Significantly increased,Very Important,Very Likely
Heavily increased,"Yes, often",Generally Welcome,Somewhat decreased,Very Important,Very Unlikely
Heavily increased,"Yes, often",Somewhat Unimportant,Significantly decreased,Very Important,Very Unlikely
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Very Likely
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Likely
Heavily increased,"Yes, often",Generally Welcome,Somewhat decreased,Very Important,Very Unlikely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely
Moderately decreased,"Yes, often",Generally Welcome,Significantly decreased,Very Important,Somewhat Likely
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,No noted difference,Very Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Very Important,Likely
Not at all,"Yes, sometimes",Generally Welcome,Somewhat increased,Important,Very Unlikely
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Somewhat Important,Somewhat Likely
Moderately increased,"Yes, often",Very Important,Somewhat increased,Somewhat Unimportant,Likely
Moderately decreased,"Yes, often",Generally Welcome,Somewhat decreased,Somewhat Unimportant,Likely
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Unlikely
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Somewhat Important,Very Unlikely
Moderately increased,"Yes, often",Somewhat Important,Significantly decreased,No Answer,No Answer
Moderately decreased,No noticed change,Generally Welcome,Somewhat increased,Very Important,Likely
Moderately decreased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Very Unlikely
Moderately increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Likely
Moderately decreased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely
Moderately decreased,"Yes, sometimes",Very Unimportant,No noted difference,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,Significantly increased,Very Important,Very Unlikely
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely
Moderately increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Likely
Not at all,"Yes, sometimes",Somewhat Important,Somewhat decreased,No Answer,No Answer
Moderately decreased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, sometimes",Somewhat Important,No noted difference,Somewhat Important,Likely
Moderately increased,"Yes, sometimes",Generally Welcome,No noted difference,No Answer,No Answer
Heavily increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely
Moderately increased,"Yes, often",Generally Welcome,Significantly decreased,Somewhat Unimportant,Likely
Not at all,"Yes, often",Generally Welcome,Significantly decreased,Very Important,Very Likely
Moderately increased,"Yes, sometimes",Very Important,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Unlikely
Moderately increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Important,Somewhat Likely
Heavily increased,"Yes, often",Generally Welcome,Significantly decreased,Very Important,Somewhat Likely
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Very Likely
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Important,Very Unlikely
Moderately increased,"Yes, often",Very Important,Somewhat increased,Somewhat Unimportant,Very Unlikely
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Very Unlikely
Not at all,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Unimportant,Somewhat decreased,Very Important,Somewhat Likely
Moderately increased,"Yes, often",Generally Welcome,Significantly increased,Very Important,Very Unlikely
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Unlikely
Heavily increased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Important,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Unimportant,Significantly decreased,Very Important,Very Likely
Moderately increased,"Yes, often",Generally Welcome,Significantly decreased,Somewhat Unimportant,Somewhat Unlikely
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,Significantly increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely
Not at all,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Unimportant,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Very Unlikely
Not at all,"Yes, sometimes",Very Unimportant,Significantly increased,Somewhat Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Somewhat decreased,Somewhat Important,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Likely
Moderately decreased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Likely
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Very Unlikely
Heavily increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Likely
Heavily increased,"Yes, sometimes",Very Important,Somewhat increased,Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Important,Very Unlikely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Important,Likely
Moderately decreased,"Yes, sometimes",Very Important,Somewhat decreased,Very Important,Somewhat Likely
Moderately increased,"Yes, often",Somewhat Unimportant,Significantly increased,Very Important,Very Unlikely
Heavily increased,"Yes, often",Somewhat Unimportant,Significantly decreased,Very Important,Very Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Very Important,Somewhat decreased,Very Important,Very Unlikely
Moderately increased,"Yes, often",Somewhat Important,Somewhat increased,Somewhat Important,Likely
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Very Unlikely
Heavily increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Somewhat Likely
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,No noted difference,Very Important,Very Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Likely
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Likely
Moderately increased,"Yes, often",Very Important,Significantly increased,No Answer,No Answer
Heavily increased,"Yes, often",Very Important,Somewhat increased,Somewhat Unimportant,Very Likely
Moderately decreased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Very Important,Somewhat increased,Very Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Unimportant,Likely
Heavily increased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Very Important,Very Likely
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Likely
Moderately increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely
Moderately decreased,"Yes, often",Very Important,Significantly increased,Very Important,Very Unlikely
Moderately decreased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Likely
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Very Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,No Answer,No Answer
Moderately increased,No noticed change,Somewhat Important,Somewhat increased,Very Important,Likely
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Very Likely
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Likely
Moderately decreased,"Yes, often",Very Important,Somewhat decreased,Very Important,Somewhat Unlikely
No Answer,"Yes, sometimes",Generally Welcome,Somewhat decreased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Unlikely
Moderately increased,"Yes, often",Somewhat Important,No noted difference,Very Important,Very Unlikely
Moderately decreased,"Yes, often",Very Important,Somewhat increased,No Answer,No Answer
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Significantly increased,Somewhat Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Unlikely
Not at all,"Yes, often",Very Important,Significantly decreased,No Answer,No Answer
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely
Moderately decreased,"Yes, sometimes",Very Important,Somewhat increased,Important,Somewhat Unlikely
Moderately decreased,"Yes, often",Somewhat Unimportant,Somewhat decreased,Somewhat Important,Somewhat Likely
Heavily increased,"Yes, sometimes",Somewhat Important,No noted difference,Very Important,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Very Likely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Important,Somewhat Likely
Moderately decreased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Very Unlikely
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Unlikely
Moderately decreased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely
Not at all,"Yes, often",Very Important,No Answer,No Answer,No Answer
Moderately increased,"Yes, sometimes",Generally Welcome,Significantly increased,Somewhat Important,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Very Unlikely
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Likely
Moderately decreased,"Yes, often",Very Important,Significantly increased,Somewhat Important,Likely
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Very Important,Significantly increased,Somewhat Important,Very Likely
Moderately increased,No noticed change,Somewhat Unimportant,No noted difference,Very Important,Very Unlikely
Moderately decreased,"Yes, often",Very Important,No noted difference,Very Important,Very Unlikely
Moderately decreased,"Yes, sometimes",Generally Welcome,Significantly increased,Somewhat Important,Somewhat Likely
Heavily increased,"Yes, sometimes",Somewhat Important,No noted difference,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Very Important,Somewhat decreased,Very Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Important,Somewhat Likely
Moderately increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely
Moderately increased,"Yes, often",Generally Welcome,Somewhat increased,Important,Likely
